address,value_zubrin,last_height
MMi3kojMJfL6tdkk2ToBdxwQYPqpjhxYak,43000000,821410
MJC1NaC4dJ9LrKR7iN1DRrj2Fk1jD2MzuD,31300000,871117
MJ3y5hT6biKLP1FsVKFvN2ocBppGyYpkk9,199400000000,1348317
MGkqcz6ojyRbuGTjzZBWh5maJcdpkZhEML,11000000,843033
MTf3N53bSUGGmCdxRfKv1ri8xEAnmBPRJc,75010300,1789601
M8na4BYadtrbbKtyuGJyP4DxYLyyrKvyBF,44000000,856267
MCAv8k61x2Bq5uP7iEVaV2tJXNefyYKSKW,200000,867817
MFnn7ye3Vvuts9TWj6TyJ7jQLAseQ8DLkM,61000000,823356
MTxKxPQ58S2JnEzBvKHRMPURvdjqCG7dTt,53000000,797711
M9ACjJqiRx5FPaq68RFzmih6zCDyMmeoBF,1200000,11770
MVvDwk9gs37hL8pCwzihnSM5TQJc6ynGdE,44100000,828015
MNfy2foijPPz4sqJMYdKYzQRv9xz95qXH2,36002839133,105989
M8DfPpeokuFfn9mpe8xk63aD52m7dUsMSp,11000000,822472
MFKhXQFGc9cAaKpisFDKpcmTNsmdXmeYoF,32000000,827617
M8b8UxcVGL1zivdc5V63siPkykpGH13yVq,1000237,960345
MMi1irBeqs3YLPTCHFLQbp1KQGCa2rzELt,61200000,694285
MQLSUoVQ1zkRobsSY7qBLMutxyckWbN2As,31100000,822490
MGswah2CmQuNok8dhx6i1nzHPN2HH3yCUp,42000000,823001
MWhAksuoxcQe4VZi9XPM1fKvkkLJNDhLZd,50000000,822359
MKQTc2zTq8ZoNeLtTCL8FgeLZWTzwNYwUG,92100000,850088
MTUyxGGQBQs2bEtVLUdT2Yt4YANHkvshdH,21000000,822441
MS9nULTV3Xgpb3YteXGNtCSoJ7nPoYntKZ,31000000,822404
MEctZhik77B15ytjAvt62boEPx5xYhvFvg,43000000,775333
MSWGzcd87MsfpRpvuqh9djaxLPEDeFa1Gn,63100000,822494
MMvx7edWp8pikCzbKx3ge9Lr8Fie2GAVc1,434668105,78341
MDyK7ptJugLu1EZ6MfkN2gntHxCuDxguCc,43100000,823358
MB8ytBFLxm2cNHmG5ovc37YtvijeEWFDCH,33400000,850088
MPCQPddRRmgDdaDEdgL4iLGGH4ytxWwvkk,52000000,824336
MCm8SgbZQE7FTpBgZgTky7Jd86X4nviKCG,201862840519,36898
MV6hfEm5PnYKJoS2nmiNvpWMGAYh2CH67Y,1000000,838088
MM5wmwn9LJN6B8GT57FUFmsUeRB5Zuxo52,21000000,817385
MM1kpvxMa9WpBEhWEjo98FXmuzLH4pDAqa,1000000,839240
MMSPzpedhJqZaWsZBt2yseUZTXMAWKLLCg,10000000,802642
MMhaEbaTa75jzVa3apyk2n4AfFigq4C4T1,42000000,822425
MRVYKPsYNYEk3Pu9gbwV5nSQzhdZoevDC7,10000000,1733695
MQJteFN8AjCoDQc3asXM4wg1cvegVNVHQY,461262226,1376210
M9pD2WKAzFm4ujngvyCRiwdWK3kXvPnnpZ,1000000,838945
MC2Qgj7SKpSEuFq2NiiT7uvPinBVAjUfn6,42000000,824298
MTr3Aatf7Q7umBexWCFMRc8UvoMkjNZBrf,33100000,724160
MNKgshTvuSJNYVK7iw6evwvPtyeA6nxZwf,93750000,1093561
MPt8ZeRPhSE173YrfwSm46hX9kGXwiNpoS,89000000,823950
MGrFrK8Yf8uHJNp1WXnZ3ME9FFS8Eyz5Vm,52100000,843033
MBSmjfjVzghTwMa3ivxdTZWeeMSokxGNxh,22000000,822995
MQmQQQEB8oQJG9iGfPx5CpoaNnimBo6aEF,11000000,801382
MDTQ1fQggjiQQfvdy5rVFf7z8WQdrrjn9R,122000000,822996
MTN2oU8jEsqAs9EoYbDVNxLD2oqxB6ysfD,1000000,11086
MWKqhxeWJCzNeg6C2S27CeAMZmqpRJPatD,2000000,843096
MA85dAeA7YBQ6NTebzvY8qpUBPb1isq5VM,1000000,853502
MSc1RCDaJqc6zj28bvz4ph1fBGDf9PH7bc,50100000,821933
MMm2revYLraBz1KtU8FHppmfZ5pStkECSF,1000079,959137
MEPetimoSHN1maoTouCa81w9GFuNDbtLVf,22000000,860465
MLVN2EiNMWijEziaGRaifpqfyBR131XEnh,33000000,850088
MQSPTjrH57pYfqp41v4tGxHWiGznf5YyTj,100000,866348
M7xH6W37mA5jdRTeiJs4zUsDyVe9TPygdL,778874483,888661
MWhioUJ6QVJ7bhSk9prFEiYgfFBtJrH78j,21100000,823356
MQ9Eowvk4xFcMGzThrLUy9WHVjdN3eqxpR,5100000,564051
MT6arm6HGkwbGbZ6jYLTfcmqtJ4TL75tkb,41100000,824326
MWCudvbBDSJLJ5b7EXaGTceRCvNp6T8WSU,32100000,766492
MPbt24WxAtssruCoEtmq4Se4QBeM55gbpP,1000000,837504
MEEpYhimF3XGyZLgZsLDqCSxVCcrn3Pryj,51000000,676139
MDeRWqkUrKn3wsxUyKUWvMwfMpL2bgYemn,104228937248,131332
MQ9GL3mCyB4NLhD8yNZcsvbxTyJNpmGYzT,42100000,678712
MMKZHJKFJnW1KYq6GhFxBHQS31osupX3Se,1491221380000,1570755
MH8P5BspUYaBTmstGBrFomWdNppt5pxdCz,12000000,822490
MPAciSe8jLqwG2DAjCdnLTMpG3sV1VMTsr,532534948781,82985
MPqquUUpWcBvZk6QBUZ5dXWgRMg95qRBSG,2200000,862028
MGpYKXYLUULx238KwS3Ex6vukjdWrXJDcV,12000000,822454
MKxW6zuXqSzfGKJekQoRaL53tSEgupg6ki,2000000,835548
MKkd7UxjPK5cFr5uPietJEyAShZDQ9D4Vv,11000000,847851
ME3ET64CWyMgPGWCBH2WBYHUPoy5HweXx3,440200000,766492
MSXWJg97cUfw2GmF4MgUNdiCj48xWSg4Zh,116801287436,1463518
MBkLdnKrKKBEC1JazRedjMvHnSu8Sx6Ybh,41100000,843555
M95NRu196DpfWrWj2gHcdJ2N8qMgcp3KH2,1000000,838945
MUb4iEaXNR55QUK9TBv6FwtyFRrRFHo6K1,31200000,891729
MTGekCRZga25uBN5ncfutJXahUWS26ttip,23300000,871152
MMTA75djo4fZxS3LLRDDjbgrgk1dBysZbv,62100000,897671
MHbEHhpZthUUuF9wEuQzqyM3S9zbVqNfm1,266758913,910147
MPLgjx2Ck2gJrhTWytaTBJ3ffJMfHp5FCP,51100000,749308
MC18G7jPA55EJ8egcL4MRc5ZBmdGxmUmJ4,1000000,876970
MChmw3QdHSSe88JyAHCJoVmUEB2t8q7Js4,9700000,1438870
MFF6SXdaMc76hdtYWWnBzsXFsb2sP8HfL7,2000000,843070
ML2LNx7QiRX88AsnC5Q1BfFzAaUJBsYihM,100460000,1799608
MUyzrGJK4ZPMTBfDYXjKq67jWfNr6f26fa,62000000,823557
ML9HRbvQfEGyQnH8auHqb5eykvz7LnXJf7,52000000,766492
MCuWU6MakQMmVLFxyjah74P6SyxJYZ12cd,13100000,767495
MRDLsw8VAWc5JxvGR9sb67PbvAvGrVu1gR,1000000,839240
MX3HqJr85bZFcwieinxbt5cHBHpw8Dn93R,1000000,837217
MHK3MrpaXV3ZN3y1T8yqBSoby3m8yPw5pV,1000000,848855
MCyJKvKnwBYbCT82ynjwUcG85pDsFsFs3V,32000000,821936
MRYYEBQSfbJfE8hHuCE1wbEus8nYvmSQiz,11000000,822450
MG3iyWuvkYamwWwrmv7Ad6mCLSRxTgWARg,12200000,853502
MMhiPVgABg5UKVZHABg23zpUdcpMCCDL3Z,200000,828015
MKDqwnRYtoVh11y6DuZpQibXboTdQahpTR,5000000000,1777491
MHCtnNABZJm3TRKVRmXvPtfAT1dLwZGvHu,2000000,843047
MArAvprEFS5Aodp8QbbcbfhYWMRHPmPkoc,2000000,843070
MP1Exwnv7sDxfshT1nfodfVDDByn3kEWdD,51100000,793297
MVzNxUHvx2C7HJe5npZrgnRb6hXgaXTc2t,1000000,838867
MVjoRUJC8fpP3fjgagM9eKgtH2iEnR45ga,57968000,1702839
MDRwRDuGqaHYaow8hN33ZMtUeK5zaefxME,3355000000,350849
MNurYrjgaEyY6mBKED7AW7fv5916YMHoY7,21000000,753451
MEVby9EQRS5hKKxx6wB5Q9w3r9DnBwxs8j,42000000,836914
MACrNNatj5KxDTLCsJRS2DZQMXGewx2Dmi,5190955841772,1545135
MVVkWVQ1xSxkpiB85jgfpAcNft3mYbazHV,40100000,881409
MSnp1EP4TKBwPm7qquY4C1dtdiXBAyU4xW,73000000,843033
MBTnzTmZpy6o5UsGnzXJtuPUKCWTjDAkSr,41200000,823485
MAMef1gRQV333hsRegKpmzNWHKwVE5nnX1,200000,872296
MGgLDFmCmzsbwvTYwaercEim5kMSxs9H8q,48175240600,1775449
M8Pxq15WfAz6eMPjyeMtAXCgCZpXencFFw,1200000,10820
MGurRv8GS6T22GJv8ZmB2xDShz3cBd4bbN,22200000,844566
MBpcwsPooQtxGVf8n14jjki4RguxrQXwnm,10000000,822491
MKhWVVbP1G9Cce7wmvWaDMUu2dnN7KgP8j,30000000,823074
MJ14WXdB2YMyQXyb4ND6gdttgDJp1x2TRV,4503400000000,1433713
MRnM78RecWgw8BS6JJktCpFp8Jdz8KzzBf,21000000,847851
MSvqtTQg78LuaCtCY8a9FQkZwRpbVqsFW4,30000000,775963
MVq23bCKB9w9WQQacFJNdeKaRUcz98E3SX,85671176,73127
MHGFGzcc5PmV1ZDxMh3q8pQPwcDEJRMBQA,1000000,846072
MSJidZTgVeFfvw7vBrqFzVihynLMvQdq4D,10000000000,1347902
M9DWz8n5snUxNxirmBamAXocJQK14HBWgh,12200000,754993
MPieFpRAm6UbHPkm1525VZALG5gRnLuxzb,499000000,939025
MA4BjqSr4itpMLcEqjFJkpmofT3juzPZzG,34100000,862195
MNN2NDQChfdkBqMhzF7waU4sdbirgUCk4V,10000000,823039
MRVMFHcna6YNEi8kvcVwYkYV1S1FghrUuU,1600000000,45372
MDfzjmbyqQwmyHCYCAZw49EiTqiZWrJZJD,1000000,838088
MDdEENLcEt5rvkri9AQXSsrWc4wCckphcZ,133100000,831396
MTUFbQw86ww2rUWMU1NW8nfNYb7qr7erkm,270000000,789792
MTjVCuyjbzuh9zxcZaymbbXtwvwhymx7ru,1000000,839184
MNPFyAmRJw8jSsmtwmv1YCYTCCgD9sGbn6,21200000,821898
MDvJPJneDf44uhdX8EFWEchhz6H9GDve9o,2000000,843047
MDQswyokKqiws9dk4DXqcmTAeFSHxbN96H,949999900000,1351300
M9bHmGDbKnzek6rY4GDypdJyiY1Ea6xmty,387777423653,817440
M8fkYHKzfK6mrxib1AF8NLb3RHTCYco6rd,31000000,555397
MCJJyWsAvireLaMbc4jJtoMmYrZMwoghfN,1000000,841064
MLkEUoU2Vjh5KYSEWScXDs7D4bXjDEV6wN,32100000,856243
MJnMaipp2B1qVrz2vsLidmY1vM2q54fzLZ,50000000,801382
M9VKydd66vAf9bVMsKFMQbW2kYygbHuXFq,200000000,78144
MTXPxvv6UtZm1jjpGcfo7h4D7rkWvkK1FJ,32100000,863018
MLAqphD84B6JWhzj87Zt74tcr74UZeD7BN,1000000,853536
M8DJ7bsodT93thFqd4hb21BmrgSvJghsDm,21200000,876970
MTtsnzcu2Z4G4GgBtV4J2FfJzRE75zhDQs,1477538717,412703
MNbdAixtKjSqMHy4A1pbKhyxSaWSiGV6D1,302100000,206408
MGad21h5N9ddQZGgNbzdXdU5Vx32CM2UyC,12100000,847851
MTJNwGiGAmahk61iiTdpNk2vtioKvGxaLh,42200000,822411
MLkbBWpS7yiKo5evmvDWfb9dKHqinyKRF8,40504163142,94987
MVPQwG3b95VevUghAVibwJwBsyaiYu8DpF,65933968,51799
MQynE3YKJGrswXVsAoNhB8JSjx66WuLG3Y,1000000,840253
MRPLrC8fYBmWVB2M4gUvMsX2vGCYhvFEHg,645550,1563356
ML8zBvd6bjEa7ZPBLMRxA1NRPu5QyMqro9,1000000,835548
MBZMgDKU2yr3uTTF2vCWRzdxQ9feVPdYXK,50110000000,307240
M8GFmmA7TaVvHxUfycZJFYoEt6yJmMfRvg,32000000,853002
ML2uMDq9XjDekdeo5MumvSfvqMhspdeFbw,22602400,1350426
MAKF38YxyhcKLZpKsUdGaKzBXLRTnJyKoq,948794489434,36312
MJZCuGd8By9VGxp2mncTR1hXPh5UWFAFuB,1200000,9414
MUmFcYpQKwUhL9ByL3wbSkAseEpX32HUa5,25744001336,969402
MDYwjiZQXvxjHutbFhGaz1us56YJUPRi2h,199500000,1350786
MJMyWH5d8oaim2c9TpyJRmdCCAAjyn9A39,52300000,822450
MDzVpJktHz1zHNAPphbmtYTEu2DBjisCwA,20000000,825426
MVLZCMfb8cnvZ3Mk2fZ8wDJ6UDwWfxZ2L8,2000000,824905
MLCvzjF9hGBAgxPdro1fuyDbWbycyK2TzF,1000000,837764
MB86E9PxoaFtLufZiTkP4CkZoeoKhjGHUT,33000000,775333
MVKEFfgTJDeAnYg3mSkAbVBpUEzfiLpz7S,40000000,822349
MVD4qXk3QoGsYqPykAGsWJaFkvXJ8LFwVg,62200000,864541
MMZsJAbPR6hK7wuYKXYwNri8r9bpLNiWLP,22100000,823002
MAyAkzjYrWvQpRCcvAJFTriiCz1LGJG81K,1000000,841954
MTXmdKWkR4e6JxfQ7TKw9LCS8BTPnyxyyH,3500000,881409
MRm2NVj9F8pPjQBqHACfbMwc4QsGKa3rm9,1000072,958823
MM1VXQcTK82nunP2LRwCiuhBRk8tnMLMzC,8733647658,36699
M8E9jWm7MZ5uBqbyfMn4TYiZ2MpNSfrrgt,2000000,836683
MHM4abssdYx2wb9R7bjNnqTCvT4Q1WKzbH,52100000,824373
MCSuiGHfS1GwWwtzhTquQLrhsoH3hAaKJd,1000000,844273
MU3fqurKijEC17pEmRcLbDSy6W9b4YhJj3,5000000000,269699
MLQwhNzoz3SQRXRHCv3sLqFytNuzHJ8Sp1,30300000,720815
MBRfRCC8okzsMDgHUTxCC5twMo4b5iw7GH,200000,876642
MEQFG2mnWf2i8ZR5fNorpiwhzAVThRh4JW,115000000,1350268
MH2UfTQ9YFUbmgHi1NBrLz7spQVnK69JCE,32000000,822465
MVAEXeEUdSWy8EnxBLHTCkR7Vj2Cdfyegm,31100000,894336
MK3HfJkWnjnjDfs1WQJux9AeQxcQaYAFnr,21200000,874779
M9DuaphAuDNht2fio7PrmjRwhYJYpGG5tF,10000000,823385
MJYscnHxHzbGNb9P5JAftCMBSfo5zjn9pT,1000000,840265
MG3a5syqAyHngFr4nobsoMYhUcVbBgooUb,82100000,793297
MVNuiLr3C1bxd2LK29iA3TrmsMVW3vWkDA,71100000,870394
MLic9TqKCm3xuEWxRatbJpRGMrRqLNdnnN,1000000,841064
